job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
Sales/Presales,EAST SEA ENERGY ENVIRONMENT COMPANY LIMITED,Ho Chi Minh City,2026-06-08,,,,Full-time,,3.0,,careerviet,True
Other,Công ty Cổ phần Zodiac Clarity,Hanoi,2026-06-08,15000000.0,20000000.0,VND,Full-time,,2.0,,careerviet,False
IT Manager,AI Education,Ho Chi Minh City,2026-06-08,,,,Full-time,,2.0,,careerviet,True
UI/UX Designer,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,Ho Chi Minh City,2026-06-08,,,,Full-time,,5.0,,careerviet,True
IT Manager,NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),Hanoi,2026-06-08,,,,Full-time,,10.0,,careerviet,True
Database Administrator,Indovina Bank Ltd.,Ho Chi Minh City,2026-06-08,,,,Full-time,,3.0,"oracle, mysql, PostgreSQL",careerviet,True
Business Analyst,Văn phòng đại diện Tổ chức Hợp tác Quốc tế Đức GIZ tại Hà Nội,Hanoi,2026-06-07,,,,Full-time,,,,careerviet,True
IT Manager,Công Ty Cổ Phần A25 Hotel,Hanoi,2026-06-07,30000000.0,60000000.0,VND,Full-time,,5.0,,careerviet,False
IT Manager,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hanoi,2026-06-06,,,,Full-time,,2.0,,careerviet,True
Other,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hanoi,2026-06-06,,,,Full-time,,3.0,,careerviet,True
Fullstack/Software Engineer,CÔNG TY TNHH CS BEARING VIỆT NAM,Ho Chi Minh City,2026-06-05,13000000.0,15000000.0,VND,Full-time,,2.0,,careerviet,False
AI/ML Engineer,Ngân Hàng TMCP Tiên Phong (TPBank),Hanoi,2026-06-05,30000000.0,60000000.0,VND,Full-time,,3.0,,careerviet,False
IT Manager,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI (SHBFinance),Hanoi,2026-06-05,,,,Full-time,,2.0,,careerviet,True
Fullstack/Software Engineer,CÔNG TY CỔ PHẦN ĐẦU TƯ THIÊN ÂN,Hanoi,2026-06-05,15000000.0,20000000.0,VND,Full-time,,2.0,"SQL Server, .NET",careerviet,False
IT Manager,Ngân Hàng TMCP Tiên Phong (TPBank),Hanoi,2026-06-05,30000000.0,60000000.0,VND,Full-time,,3.0,,careerviet,False
DevOps/Infra Engineer,LOTTE FINANCE VIETNAM,Hanoi,2026-06-05,,,,Full-time,,3.0,,careerviet,True
System/Network Admin,NHÂN VIÊN LẬP TRÌNH (LÀM VIỆC TẠI PHÚ QUỐC),Other,2026-06-05,,,,Full-time,,1.0,,careerviet,True
Business Analyst,Công ty Cố phần giải pháp công nghệ ITE,Hanoi,2026-06-05,25000000.0,30000000.0,VND,Full-time,,3.0,,careerviet,False
AI/ML Engineer,CÔNG TY CỔ PHẦN DƯỢC PHẨM REVO,Hanoi,2026-06-05,10000000.0,15000000.0,VND,Full-time,,,,careerviet,False
Business Analyst,CÔNG TY TNHH CÔNG NGHỆ B2B,Ho Chi Minh City,2026-06-05,,,,Full-time,,1.0,,careerviet,True
Business Analyst,CÔNG TY CỔ PHẦN PHÁT TRIỂN CƠ ĐIỆN LẠNH HOÀNG ĐẠT,Hanoi,2026-06-05,20000000.0,30000000.0,VND,Full-time,,3.0,,careerviet,False
ERP/CRM Specialist,CÔNG TY CỔ PHẦN PHÁT TRIỂN CƠ ĐIỆN LẠNH HOÀNG ĐẠT,Hanoi,2026-06-05,40000000.0,60000000.0,VND,Full-time,,3.0,,careerviet,False
