job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
System/Network Admin,Mars Group,Ho Chi Minh City,2026-05-07,12000000.0,16000000.0,VND,Full-time,Junior,1.0,"AI, ERP, CRM",careerviet,False
Sales/Presales,CÔNG TY CỔ PHẦN KINH DOANH F88,Ho Chi Minh City,2026-05-07,,,,Full-time,Manager+,5.0,,careerviet,True
UI/UX Designer,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,Ho Chi Minh City,2026-05-07,,,,Full-time,Manager+,5.0,,careerviet,True
Database Administrator,Indovina Bank Ltd.,Ho Chi Minh City,2026-05-07,30000000.0,40000000.0,VND,Full-time,Senior,3.0,"oracle, mysql, PostgreSQL",careerviet,False
DevOps/Infra Engineer,LOTTE FINANCE VIETNAM,Hanoi,2026-05-06,,,,Full-time,Senior,3.0,,careerviet,True
IT Manager,Ngân Hàng TMCP Tiên Phong (TPBank),Hanoi,2026-05-06,30000000.0,60000000.0,VND,Full-time,Mid,3.0,,careerviet,False
Data Analyst,Ngân Hàng TMCP Tiên Phong (TPBank),Hanoi,2026-05-06,30000000.0,60000000.0,VND,Full-time,Mid,3.0,,careerviet,False
Fullstack/Software Engineer,Công Ty Cổ Phần Chuỗi Thực Phẩm TH,Hanoi,2026-05-06,20000000.0,35000000.0,VND,Full-time,Junior,2.0,,careerviet,False
Fullstack/Software Engineer,CÔNG TY TNHH CS BEARING VIỆT NAM,Ho Chi Minh City,2026-05-06,13000000.0,15000000.0,VND,Full-time,Junior,2.0,"Python, Excel, Project Management",careerviet,False
AI/ML Engineer,Ngân Hàng TMCP Tiên Phong (TPBank),Hanoi,2026-05-06,30000000.0,60000000.0,VND,Full-time,Mid,3.0,,careerviet,False
Data Analyst,"Rochdale Spears Co., Ltd.",Other,2026-05-06,,,,Full-time,Mid,3.0,,careerviet,True
IT Manager,CÔNG TY TNHH GALAXY DIGITAL HOLDINGS,Ho Chi Minh City,2026-05-06,,,,Full-time,Mid,5.0,,careerviet,True
Data Analyst,UrBox - Công ty Cổ phần Tiếp Thị Số Tô Quà,Ho Chi Minh City,2026-05-06,,,,Full-time,Mid,3.0,,careerviet,True
IT Manager,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI (SHBFinance),Hanoi,2026-05-06,,,,Full-time,Junior,2.0,,careerviet,True
Business Analyst,Công ty TNHH Quản lý tài sản Premier Việt Nam,Ho Chi Minh City,2026-05-06,,,,Full-time,Senior,3.0,,careerviet,True
Fullstack/Software Engineer,Tổng Công Ty Chuyển Phát Nhanh Bưu Điện,Hanoi,2026-05-06,,,,Full-time,Junior,1.0,"Java, JavaScript, PHP, React, Angular, .NET, CI/CD, SQL, PostgreSQL, MySQL, Git, REST, HTML, CSS, API, Figma",careerviet,True
Fullstack/Software Engineer,CÔNG TY CỔ PHẦN ĐẦU TƯ THIÊN ÂN,Hanoi,2026-05-06,15000000.0,20000000.0,VND,Full-time,Junior,2.0,"SQL Server, .NET",careerviet,False
System/Network Admin,CÔNG TY TNHH CÔNG NGHỆ HUAWEI VIỆT NAM,Hanoi,,,,,Full-time,Junior,2.0,,careerviet,True
Other,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hanoi,2026-05-05,,,,Full-time,Mid,3.0,Excel,careerviet,True
UI/UX Designer,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hanoi,2026-05-05,,,,Full-time,Mid,3.0,,careerviet,True
Fullstack/Software Engineer,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Ho Chi Minh City,2026-05-05,,,,Full-time,Mid,3.0,php,careerviet,True
ERP/CRM Specialist,Công Ty Cổ Phần Chuỗi Thực Phẩm TH,Hanoi,2026-05-05,30000000.0,50000000.0,VND,Full-time,Junior,2.0,"ERP, CRM",careerviet,False
DevOps/Infra Engineer,Concung.com - Con Cung Joint Stock Company,Ho Chi Minh City,2026-05-05,,,,Full-time,Junior,2.0,DevOps,careerviet,True
Other,Sonion Vietnam,Ho Chi Minh City,2026-05-04,,,,Full-time,Junior,1.0,"ERP, BI",careerviet,True
QA/Tester,Công ty Cổ phần Vietsol,Hanoi,2026-05-04,15000000.0,25000000.0,VND,Full-time,Mid,3.0,,careerviet,False
