job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
Frontend Developer,Vinamilk,Ho Chi Minh City,2026-05-22,,,,Full-time,Senior,,"React, HTML5, JavaScript",itviec,True
AI/ML Engineer,One Mount Group,Hanoi,2026-05-22,,,,Full-time,Fresher,,"Machine Learning, AI, SQL, Agile",itviec,True
Fullstack/Software Engineer,Viễn Chinh Tech (VC Tech),Hanoi,2026-05-22,,,,Full-time,Fresher,,"Odoo, API, PostgreSQL, Docker, Python",itviec,True
Frontend Developer,Viễn Chinh Tech (VC Tech),Hanoi,2026-05-22,,,,Full-time,Fresher,,"Vue, IoT, HTML, JavaScript, TypeScript, CSS",itviec,True
Backend Developer,NAB Innovation Centre Vietnam,Ho Chi Minh City,2026-05-22,,,,Full-time,Senior,,"Java, Spring Boot, Microservices, Spring",itviec,True
Security Engineer,ITviec Recruitment Consulting,Hanoi,2026-05-22,,,,Full-time,Senior,,"Python, API, CI/CD, Security, AWS",itviec,True
Cloud Engineer,Novumstate GmbH,Hanoi,2026-05-22,,,,Full-time,Senior,,"Networking, Azure, Windows Server, Kubernetes",itviec,True
Solution Architect,ITviec Recruitment Consulting,Ho Chi Minh City,2026-05-22,,,,Full-time,Manager+,,"Java, CI/CD, Kafka, API, Spring Boot, AI",itviec,True
Fullstack/Software Engineer,NAB Innovation Centre Vietnam,Hanoi,2026-05-22,,,,Full-time,Senior,,Python,itviec,True
Fullstack/Software Engineer,The One Digi Corp,Ho Chi Minh City,2026-05-22,,,,Full-time,Senior,,"PHP, .NET, Node.js, Python",itviec,True
DevOps/Infra Engineer,Mynavi TechTus Vietnam,Da Nang,2026-05-22,,,,Full-time,Fresher,,"DevOps, Terraform, Linux, Kubernetes, AWS",itviec,True
QA/Tester,GrapeCity,Hanoi,2026-05-22,,,,Full-time,Fresher,,"Automation Test, Selenium, C#, English",itviec,True
AI/ML Engineer,WBC Việt Nam,Hanoi,2026-05-22,,,,Full-time,Fresher,,"AI, Python, LLM",itviec,True
