job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
QA/Tester,Oivan,Ho Chi Minh City,2026-05-07,,,,Full-time,Junior,0.8,"Automation Test, English",itviec,True
Fullstack/Software Engineer,Giftee Tech Vietnam,Ho Chi Minh City,2026-05-07,,75000000.0,VND,Full-time,Senior,3.1,"Ruby on Rails, PHP, Agile, MySQL, AWS, English",itviec,False
Game Developer,NEXON DEV VINA,Ho Chi Minh City,2026-05-06,,,,Full-time,Intern,,"C#, C++, English",itviec,True
DevOps/Infra Engineer,FWD VTC,Ho Chi Minh City,2026-05-06,,,,Full-time,Fresher,3.1,"DevOps, Kubernetes, Azure, AWS, English",itviec,True
Frontend Developer,Timebeat.app,Ho Chi Minh City,2026-05-06,17500000.0,25000000.0,VND,Full-time,Intern,,"English, Shopify, JavaScript, CSS, HTML5",itviec,False
Backend Developer,EPOS Vietnam,Ho Chi Minh City,2026-05-06,,,,Full-time,Senior,0.8,"Java, Spring Boot, OOP, Spring, AWS, SQL",itviec,True
Mobile Developer,EPOS Vietnam,Ho Chi Minh City,2026-05-06,,,,Full-time,Senior,3.1,"Android, Java, Flutter, Kotlin",itviec,True
Frontend Developer,Goline Corporation,Hanoi,2026-05-06,,,,Full-time,Fresher,0.8,"React, Figma, CSS, HTML, JavaScript",itviec,True
QA/Tester,Ewoosoft Vietnam,Hanoi,2026-05-06,,37500000.0,VND,Full-time,Fresher,0.8,"Automation Test, AI, English",itviec,False
Business Analyst,Ewoosoft Vietnam,Hanoi,2026-05-06,37500000.0,37500000.0,VND,Full-time,Fresher,0.8,"Figma, Jira, Scrum, Agile",itviec,False
Fullstack/Software Engineer,LG Electronics Development Vietnam (LGEDV),Hanoi,2026-05-06,22500000.0,50000000.0,VND,Full-time,Fresher,0.8,"Embedded, C++, Python",itviec,False
Business Analyst,Inbox4us,Ho Chi Minh City,2026-05-06,,,,Full-time,Junior,3.0,Agile,itviec,True
AI/ML Engineer,Goline Corporation,Hanoi,2026-05-06,,,,Full-time,Senior,0.8,"Java, Spring, Oracle, SQL, AI",itviec,True
Other,ELCA,Ho Chi Minh City,2026-05-06,,,,Full-time,Senior,3.1,"Azure, .NET, English",itviec,True
Project Manager,NEC Vietnam,Hanoi,2026-05-06,,,,Full-time,Manager+,3.1,"Java, C#, Japanese, Project Management",itviec,True
Frontend Developer,Saigon Technology,Da Nang,2026-05-06,,,,Remote,Senior,0.8,"Node.js, MongoDB, English, React, NestJS",itviec,True
Fullstack/Software Engineer,SMG Swiss Marketplace Group,Ho Chi Minh City,2026-05-06,75000000.0,100000000.0,VND,Full-time,Senior,3.1,"GitHub Actions, AWS, React, Vue, TypeScript",itviec,False
Business Analyst,Mcredit - Công ty Tài chính TNHH MB Shinsei,Hanoi,2026-05-06,,,,Full-time,Fresher,0.8,"Agile, English",itviec,True
Data Engineer,NashTech,Hanoi,2026-05-06,,,,Full-time,Senior,3.1,"Oracle, PostgreSQL",itviec,True
QA/Tester,FPT Software,Hanoi,2026-05-06,,,,Full-time,Manager+,3.1,"Project Management, Japanese",itviec,True
Frontend Developer,LAVEGA,Da Nang,2026-05-06,,,,Full-time,Senior,3.1,"JavaScript, CSS, HTML5, Vue, Angular",itviec,True
ERP/CRM Specialist,UNIT Corp,Ho Chi Minh City,2026-05-06,20000000.0,37500000.0,VND,Full-time,Fresher,0.8,"C#, Linux, Oracle, C++",itviec,False
Fullstack/Software Engineer,Anchanto Services Pvt Ltd,Ho Chi Minh City,2026-05-06,,,,Full-time,Senior,3.1,"Java, SQL, AI, API, Microservices, Spring Boot",itviec,True
Database Administrator,Trung tâm CNTT Tập đoàn Bảo Việt,Hanoi,2026-05-06,,,,Full-time,Fresher,3.1,"Oracle, Linux, PostgreSQL",itviec,True
System/Network Admin,Công ty Cổ phần Thanh toán số MobiFone,Hanoi,2026-05-06,,,,Full-time,Fresher,0.8,"Networking, Firewall",itviec,True
Game Developer,UPLIVE VN,Ho Chi Minh City,2026-05-06,,,,Full-time,Senior,0.8,"Project Management, Agile, C#, English",itviec,True
