job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
Other,SUN.STUDIO,Ho Chi Minh City,2026-06-12,,,,Full-time,Mid,,"Python, Git, AI, Firewall, VPN, Security",linkedin,True
IT Support,CMC Technology & Solution (CMC TS),Ho Chi Minh City,2026-06-01,,,,Full-time,Mid,1.0,"Windows Server, Active Directory",linkedin,True
IT Manager,Olik Global,Ho Chi Minh City,2026-06-10,,,,Full-time,Mid,15.0,"Scala, CI/CD, Agile, AI, Excel, API, Security, Cybersecurity",linkedin,True
QA/Tester,Getz Group,Other,2026-02-15,,,,Full-time,Mid,,"REST, iOS",linkedin,True
Frontend Developer,Getz Group,Other,2026-06-08,,,,Full-time,Mid,2.0,"Java, JavaScript, Scala, React, Angular, Vue, Agile, Scrum, REST, HTML, Excel",linkedin,True
Other,Emirates,Da Nang,2026-06-08,,,,Full-time,Junior,,"Excel, Security",linkedin,True
Business Analyst,GITS - Global IT Solutions,Hanoi,2026-06-11,,,,Full-time,Junior,,Agile,linkedin,True
System/Network Admin,"SOTATEK., JSC",Hanoi,2026-06-11,,,,Internship,Mid,3.0,"SQL, MySQL, Linux, Windows Server, REST, iOS, Android, Active Directory, VMware, Networking, Firewall, Security",linkedin,True
DevOps/Infra Engineer,Xspera,Other,2025-10-18,,,,Full-time,Mid,5.0,"Python, Perl, Azure, SQL, Excel, ITIL, Active Directory, Firewall, Security",linkedin,True
System/Network Admin,UNIT Technology Corporation,Ho Chi Minh City,2026-06-08,,,,Full-time,Mid,4.0,"Windows Server, Adobe, Active Directory, Networking, Firewall",linkedin,True
IT Manager,IHG Hotels & Resorts,Other,2026-06-01,,,,Full-time,Mid,3.0,"Firewall, Security, Cybersecurity",linkedin,True
System/Network Admin,CNK Consulting Vietnam,Other,2026-02-15,,,,Full-time,Mid,,"Java, SQL, Windows Server, Firewall, VPN",linkedin,True
System/Network Admin,Work & Wonders - Kiến Tạo & Kiệt Tác,Hanoi,2026-04-16,,,,Full-time,Mid,,,linkedin,True
Other,XP Power,Other,2026-06-09,,,,Full-time,Mid,2.0,"Linux, Active Directory, Networking",linkedin,True
