job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
System/Network Admin,FireGroup Technology,Ho Chi Minh City,2026-05-07,,,,Full-time,Mid,1.0,"Rust, DevOps, Agile, Linux, AI, Excel, Jira, Active Directory, VPN",linkedin,True
IT Manager,Mekong Capital,Ho Chi Minh City,2026-04-16,,,,Full-time,Mid,5.0,"Agile, AI, Security, Cybersecurity",linkedin,True
Other,Getz Group,Other,2026-05-06,,,,Full-time,Mid,5.0,"REST, Excel",linkedin,True
System/Network Admin,Tuyển Dụng 247,Ho Chi Minh City,2026-05-05,,,,Full-time,Mid,2.0,"REST, AI, Power BI",linkedin,True
System/Network Admin,CMC Technology & Solution (CMC TS),Other,2026-04-30,,,,Full-time,Mid,,,linkedin,True
Other,Emirates,Ho Chi Minh City,2026-04-23,,,,Full-time,Junior,,"Excel, Security",linkedin,True
IT Support,Corsair,Ho Chi Minh City,2026-04-23,,,,Full-time,Junior,3.0,"Scala, React, Azure, Linux, Windows Server, Excel, Jira, ITIL, VMware, Networking, Firewall, VPN, Security",linkedin,True
IT Manager,Aperia,Ho Chi Minh City,2026-04-16,,,,Full-time,Mid,,"Azure, Terraform, CI/CD, DevOps, Windows Server, REST, VMware, Networking, Security",linkedin,True
IT Support,TGM Research,Ho Chi Minh City,2026-04-16,,,,Full-time,Junior,2.0,Security,linkedin,True
System/Network Admin,VTI,Ho Chi Minh City,2026-04-23,,,,Full-time,Mid,,"Scala, AWS, Security",linkedin,True
IT Manager,Eastspring Investments,Ho Chi Minh City,2026-04-07,,,,Full-time,Mid,3.0,"Spring, Security, Cybersecurity",linkedin,True
System/Network Admin,Công Ty CP Thiết Kế - Xây Dựng Kiến Trúc Việt,Ho Chi Minh City,2026-04-16,,,,Full-time,Mid,,,linkedin,True
Frontend Developer,Getz Group,Other,2025-10-09,,,,Full-time,Mid,2.0,"Java, JavaScript, Scala, React, Angular, Vue, Agile, Scrum, REST, HTML, Excel",linkedin,True
QA/Tester,Getz Group,Other,2026-03-08,,,,Full-time,Mid,,"REST, iOS",linkedin,True
DevOps/Infra Engineer,Xspera,Other,2025-10-09,,,,Full-time,Mid,5.0,"Python, Perl, Azure, SQL, Excel, ITIL, Active Directory, Firewall, Security",linkedin,True
System/Network Admin,"SOTATEK., JSC",Hanoi,2026-04-30,,,,Internship,Junior,2.0,"SQL, MySQL, Linux, Unix, Windows Server, REST, Excel, iOS, Android, Active Directory, VMware, Networking, Firewall, Security",linkedin,True
System/Network Admin,UNIT Technology Corporation,Ho Chi Minh City,2026-04-30,,,,Full-time,Mid,4.0,"Windows Server, Adobe, Active Directory, Networking, Firewall",linkedin,True
System/Network Admin,XP Power,Other,2026-05-06,,,,Full-time,Mid,3.0,"Linux, Active Directory, Networking, Security",linkedin,True
IT Manager,Ricoh Vietnam,Ho Chi Minh City,2026-04-30,,,,Full-time,Manager+,10.0,"Rust, Scala, AI, Excel",linkedin,True
DevOps/Infra Engineer,adidas,Ho Chi Minh City,2026-04-30,,,,Full-time,Mid,1.0,"Scala, Express, ITIL",linkedin,True
IT Manager,Công Ty TNHH DV Và TM Mesa,Ho Chi Minh City,2026-04-16,,,,Full-time,Mid,,"SQL, MySQL, API",linkedin,True
System/Network Admin,Công ty cổ phần Expro,Ho Chi Minh City,2026-04-07,,,,Full-time,Mid,,,linkedin,True
Other,FPT Telecom International,Hanoi,2026-04-30,,,,Full-time,Mid,,,linkedin,True
Fullstack/Software Engineer,Công ty Cổ phần Viễn thông 3G,Hanoi,1 year ago,,,,Full-time,Mid,,"Python, Java, JavaScript, SQL",linkedin,True
IT Support,Shopee,Ho Chi Minh City,2026-05-06,,,,Full-time,Mid,3.0,"Linux, Windows Server, Firewall, Security",linkedin,True
System/Network Admin,SUNJIN VIỆT NAM,Other,2025-10-09,,,,Full-time,Mid,,Windows Server,linkedin,True
System/Network Admin,UrBox - Digital Rewards & Loyalty Solution,Ho Chi Minh City,2026-04-07,,,,Full-time,Mid,5.0,"DevOps, AI, Firewall, Security",linkedin,True
Cloud Engineer,GoTymeX,Ho Chi Minh City,2026-04-30,,,,Full-time,Intern,,"Azure, Agile, Jira, Confluence, Networking, Security",linkedin,True
Other,Reboot Monkey,Da Nang,2026-03-08,,,,Full-time,Junior,,"Linux, Excel, Networking, Firewall, Security",linkedin,True
IT Manager,Savills Vietnam,Ho Chi Minh City,2026-04-07,,,,Full-time,Mid,,"Azure, AI, Excel, ITIL, Networking, Security",linkedin,True
Other,CMC Technology & Solution (CMC TS),Ho Chi Minh City,2026-04-10,,,,Full-time,Mid,2.0,"Windows Server, ITIL, Security",linkedin,True
Data Analyst,GoTymeX,Ho Chi Minh City,2026-04-24,,,,Full-time,Intern,,"Python, Go, AWS, SQL, Git, Agile, REST, Pandas, NumPy, Power BI, Tableau",linkedin,True
IT Support,Highlands Coffee®,Ho Chi Minh City,2026-05-01,,,,Full-time,Junior,1.0,Networking,linkedin,True
IT Manager,Nam Long Group - NLG,Ho Chi Minh City,2026-05-07,,,,Full-time,Manager+,15.0,"Windows Server, Excel, SAP, Networking, Firewall, ERP, CRM",linkedin,True
Business Analyst,GoTymeX,Ho Chi Minh City,2026-04-24,,,,Full-time,Intern,,"Agile, REST",linkedin,True
System/Network Admin,Công Ty TNHH Thiết Bị Minh Tâm,Ho Chi Minh City,2026-04-08,,,,Full-time,Mid,,,linkedin,True
IT Support,CMC Technology & Solution (CMC TS),Ho Chi Minh City,2026-04-08,,,,Full-time,Mid,2.0,"Windows Server, Active Directory",linkedin,True
System/Network Admin,Aperia,Ho Chi Minh City,2026-05-06,,,,Full-time,Senior,,"Scala, AWS, Azure, Linux, Unix, Windows Server, REST, Salesforce, ServiceNow, ITIL, VMware, Hyper-V, Firewall, VPN, Security",linkedin,True
Fullstack/Software Engineer,The Value Maximizer,Ho Chi Minh City,2026-03-09,,,,Full-time,Mid,6.0,"AI, API",linkedin,True
System/Network Admin,CNK Consulting Vietnam,Other,2026-02-07,17500000.0,25000000.0,VND,Full-time,Mid,2.0,"Java, SQL, Windows Server, Firewall, VPN",linkedin,False
Other,BE GROUP,Ho Chi Minh City,2026-05-07,,,,Full-time,Mid,5.0,"Scala, AWS, Azure, Ansible, Linux, REST, ITIL, VMware, Hyper-V, Firewall, VPN, Security",linkedin,True
