job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
Frontend Developer,CÔNG TY TNHH PIXEL PERFECT,Ho Chi Minh City,2026-06-02,,,,Full-time,,4.0,,topcv,True
Sales/Presales,CÔNG TY CỔ PHẦN AN NINH DỮ LIỆU VIỆT NAM,Hanoi,2026-06-02,,,,Full-time,,2.0,,topcv,True
UI/UX Designer,Công ty TNHH Quốc tế Luminix,Hanoi,2026-06-02,,,,Full-time,,1.0,,topcv,True
System/Network Admin,CÔNG TY TNHH CUNG CẤP GIẢI PHÁP DỊCH VỤ GIÁ TRỊ GIA TĂNG (Vivas),Hanoi,2026-06-02,,,,Full-time,,1.0,"Linux, Docker, Python, AI",topcv,True
Business Analyst,Công ty cổ phần FDS,Hanoi,2026-06-02,,,,Full-time,,3.0,,topcv,True
Fullstack/Software Engineer,CÔNG TY CỔ PHẦN CÔNG NGHỆ THANH TOÁN THÀNH PHỐ THÔNG MINH,Ho Chi Minh City,2026-06-02,,,,Full-time,,3.0,"SQL, React Native, React, Spring Boot, REST",topcv,True
QA/Tester,Công ty Cổ phần Giải pháp phần mềm Tài Chính,Hanoi,2026-06-02,,,,Full-time,,3.0,,topcv,True
UI/UX Designer,CÔNG TY CỔ PHẦN VIC MEDIA ENTERTAINMENT,Hanoi,2026-06-02,,,,Full-time,,2.0,ASP.NET,topcv,True
System/Network Admin,Chi nhánh Miền Nam – Công ty Cổ phần Đầu Tư và Dịch Vụ Kho Vận A+,Ho Chi Minh City,2026-06-02,,,,Full-time,,1.0,,topcv,True
AI/ML Engineer,Công ty Cổ phần Tập Đoàn Dược Phẩm và Thương Mại Sohaco,Hanoi,2026-06-02,,,,Full-time,,1.0,,topcv,True
Fullstack/Software Engineer,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ BLUESTARS VIỆT NAM,Hanoi,2026-06-02,,,,Full-time,,3.0,"Elasticsearch, PostgreSQL, Python, Next.js, React",topcv,True
IT Support,Công Ty TNHH HiTRUST,Hanoi,2026-06-02,,,,Full-time,,1.0,,topcv,True
AI/ML Engineer,CÔNG TY TNHH SEVEN WORLD,Da Nang,2026-06-02,,,,Full-time,,3.0,,topcv,True
QA/Tester,Công Ty TNHH Intellipro Việt Nam,Other,2026-06-02,,,,Full-time,,5.0,,topcv,True
Business Analyst,CÔNG TY TNHH CUNG ỨNG LAO ĐỘNG NGUỒN GỐC NIỀM TIN VIỆT NAM,Hanoi,2026-06-02,,,,Full-time,,5.0,,topcv,True
Data Analyst,CÔNG TY TNHH NEXTAD STUDIO,Ho Chi Minh City,2026-06-02,,,,Full-time,,1.0,"SQL, Excel",topcv,True
UI/UX Designer,CÔNG TY TNHH MASKER MEDIA,Ho Chi Minh City,2026-06-02,,,,Full-time,,1.0,,topcv,True
Other,CÔNG TY CỔ PHẦN GENKI TECH SOLUTIONS,Ho Chi Minh City,2026-06-02,,,,Full-time,,2.0,,topcv,True
System/Network Admin,CÔNG TY TNHH APPEN DATA TECHNOLOGY VIỆT NAM,Hanoi,2026-06-02,,,,Full-time,,0.0,,topcv,True
AI/ML Engineer,CÔNG TY TNHH MEKTEC MANUFACTURING (VIỆT NAM),Hanoi,2026-06-02,,,,Full-time,,3.0,,topcv,True
Business Analyst,Công ty Cổ phần METUB Việt Nam,Ho Chi Minh City,2026-06-02,,,,Full-time,,3.0,,topcv,True
Database Administrator,CÔNG TY TNHH SAMSUNG SDS VIỆT NAM,Hanoi,2026-06-02,,,,Full-time,,4.0,,topcv,True
Data Analyst,Công ty CP Kinh doanh F88,Hanoi,2026-06-02,,,,Full-time,,5.0,,topcv,True
Other,CTY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VIỆT MỸ,Ho Chi Minh City,2026-06-02,,,,Full-time,,2.0,,topcv,True
Data Analyst,Công Ty TNHH Điện Tử Việt Nhật,Other,2026-06-02,,,,Full-time,,1.0,,topcv,True
Frontend Developer,CÔNG TY TNHH DỊCH VỤ KẾ TOÁN CÔNG NGHỆ SMARTTAX,Hanoi,2026-06-02,,,,Full-time,,2.0,,topcv,True
System/Network Admin,BASE BUSINESS SOLUTIONS,Ho Chi Minh City,2026-06-02,,,,Full-time,,3.0,,topcv,True
Game Developer,CÔNG TY TNHH NSTAGE VIỆT NAM,Hanoi,2026-06-02,,,,Full-time,,2.0,C#,topcv,True
Sales/Presales,CÔNG TY TNHH MIGHTYID VIETNAM,Ho Chi Minh City,2026-06-02,,,,Full-time,,1.0,,topcv,True
System/Network Admin,CÔNG TY TNHH KOVA NANOPRO,Ho Chi Minh City,2026-06-02,,,,Full-time,,3.0,Sharepoint,topcv,True
Fullstack/Software Engineer,Công ty Cổ phần Giải pháp công nghệ Trực tuyến GTEL (GTEL OTS),Hanoi,2026-06-02,,,,Full-time,,2.0,,topcv,True
QA/Tester,Công ty CP FINT Việt Nam,Hanoi,2026-06-02,,,,Full-time,,5.0,,topcv,True
Game Developer,SonatGame Studio,Hanoi,2026-06-02,,,,Full-time,,1.0,,topcv,True
AI/ML Engineer,OpenCommerce Group,Hanoi,2026-06-02,,,,Full-time,,1.0,,topcv,True
