job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
QA/Tester,CÔNG TY TNHH HCL VIETNAM,Hanoi,2026-05-06,,,,Full-time,Intern,1.0,AI,topcv,True
Fullstack/Software Engineer,CÔNG TY CỔ PHẦN ICORP,Hanoi,2026-05-06,10000000.0,25000000.0,VND,Full-time,Fresher,0.0,,topcv,False
Sales/Presales,Công ty Cổ phần Chứng thực số Toàn Cầu Việt Nam,Hanoi,2026-05-06,10000000.0,,VND,Full-time,Junior,1.0,,topcv,False
Business Analyst,Công ty cổ phần Hùng Phát,Other,2026-05-06,15000000.0,25000000.0,VND,Full-time,Junior,1.0,AI,topcv,False
Fullstack/Software Engineer,CÔNG TY CỔ PHẦN EASYSALON VIỆT NAM,Ho Chi Minh City,2026-05-06,,,,Full-time,Junior,1.0,,topcv,True
AI/ML Engineer,CÔNG TY CỔ PHẦN CMC OPENAI,Hanoi,2026-05-06,,60000000.0,VND,Full-time,Manager+,5.0,"Docker, Kubernetes, CI/CD, AWS, Azure, GCP, Terraform, Jenkins, DevOps, Kafka, REST, Microservices, AI, API, Networking, Security",topcv,False
Fullstack/Software Engineer,CÔNG TY CỔ PHẦN CÔNG NGHỆ GETFLY VIỆT NAM,Hanoi,2026-05-06,15000000.0,30000000.0,VND,Full-time,Manager+,1.0,Crm,topcv,False
QA/Tester,CÔNG TY TNHH MAPLE LABS,Ho Chi Minh City,2026-05-06,,,,Full-time,Junior,1.0,"Android, AI, API, Jira",topcv,True
Other,CÔNG TY TNHH GIẢI PHÁP DỮ LIỆU SÁNG TẠO,Ho Chi Minh City,2026-05-06,,,,Full-time,Junior,1.0,"VPN, Firewall, Project Management",topcv,True
AI/ML Engineer,CÔNG TY TNHH GIẢI PHÁP TRÍ TUỆ SỐ,Ho Chi Minh City,2026-05-06,30000000.0,50000000.0,VND,Full-time,Mid,3.0,"Pytorch, Python, Django, Flask, FastAPI, AWS, Azure, GCP, DevOps, Redis, AI, NLP, API, CRM",topcv,False
Fullstack/Software Engineer,CÔNG TY TNHH DỊCH VỤ - CÔNG NGHỆ GLOBEE,Ho Chi Minh City,2026-05-06,12000000.0,,VND,Full-time,Junior,1.0,"Agile, Scrum, AI",topcv,False
Other,Công ty Phát triển Phần mềm Xây dựng Aureole,Ho Chi Minh City,2026-05-06,8000000.0,10000000.0,VND,Full-time,Fresher,0.0,AI,topcv,False
Mobile Developer,Công ty Cổ phần Quốc tế Việt Nam Nhật Bản,Hanoi,2026-05-06,,,,Full-time,Junior,2.0,"C#, Oracle, SQL Server, Docker, AWS, IOT, .NET, SQL, REST, API, Android",topcv,True
QA/Tester,Công ty Cổ Phần Base Enterprise,Hanoi,2026-05-06,,,,Full-time,Senior,3.0,"MySQL, REST, API",topcv,True
Fullstack/Software Engineer,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG NIỀM TIN,Hanoi,2026-05-06,50000000.0,,VND,Full-time,Senior,2.0,".NET, Javascript, NoSQL, SQL Server, React, Next.js, Java, SQL",topcv,False
Fullstack/Software Engineer,Công ty cổ phần tập đoàn công nghệ Quảng Ích,Ho Chi Minh City,2026-05-06,15000000.0,22000000.0,VND,Full-time,Junior,1.0,,topcv,False
