job_title,company_name,company_size,location,salary_min,salary_max,salary_currency,experience_required,skills,job_type,job_level,posted_date,deadline,job_description,benefits,source
Senior/Middle - Frontend Developer - ReactJS,Vinamilk,,Ho Chi Minh City,,,VND,,"['ReactJS', 'HTML5', 'Software Architecture', 'JavaScript']",On-site,Senior,2026-05-22,,,,itviec
(HN/HCM) Product Owner (AI Platform),One Mount Group,,"Ho Chi Minh City, Hanoi",,,VND,,"['Product Owner', 'Business Analysis', 'Machine Learning', 'AI', 'SQL', 'Agile']",On-site,,2026-05-22,,,Top-Tier Talent and Mentorship; Attract salary & compensation; Building the digital infra for Vietnam’s economy,itviec
Lập trình viên Odoo (ERP/Python/Docker/PostgreSQL),Viễn Chinh Tech (VC Tech),,Hanoi,,,VND,,"['Odoo', 'API', 'XML', 'PostgreSql', 'Docker', 'Python']",On-site,,2026-05-22,,,"Thu nhập: 15 triệu đồng/tháng; Du lịch: 1 năm trong nước, 1 năm nước ngoài; Team Building 2 lần/ năm",itviec
Lập trình viên Frontend (VueJS/TypeScript/JavaScript),Viễn Chinh Tech (VC Tech),,Hanoi,,,VND,,"['VueJS', 'IoT', 'HTML', 'JavaScript', 'TypeScript', 'CSS']",On-site,,2026-05-22,,,,itviec
Middle/Senior Java Engineer,NAB Innovation Centre Vietnam,,Ho Chi Minh City,,,VND,,"['Java', 'Spring Boot', 'Microservices', 'Cloud', 'Spring']",Hybrid,Senior,2026-05-22,,,Very competitive remuneration package; Build products for millions of users in Australia; Hybrid and flexible working environment,itviec
Lead Java Engineer,NAB Innovation Centre Vietnam,,Ho Chi Minh City,,,VND,,"['Java', 'Spring Boot', 'Microservices', 'English']",On-site,Senior,2026-05-22,,,Very competitive remuneration package; Build products for millions of users in Australia; Hybrid and flexible working environment,itviec
Senior Security Engineer,ITviec Recruitment Consulting,,"Ho Chi Minh City, Hanoi",,,VND,,"['Python', 'API', 'CI/CD', 'Security', 'DevSecOps', 'AWS']",Hybrid,Senior,2026-05-22,,,"Top European Firm, AI & Digital Bank Leaders; Attractive Pay, 13th Month & Performance Bonus; Hybrid Work, Premium Health & Extensive Leave",itviec
Senior IT System Administrator (MS 365 / Azure / Cloud),Novumstate GmbH,,Hanoi,,,VND,,"['System Admin', 'Networking', 'Microsoft Dynamics 365', 'Azure', 'Windows Server', 'Kubernetes']",On-site,Senior,2026-05-22,,,Attractive compensation packages and benefits; Onsite Opportunities in Germany; Work-life balances,itviec
Lead Solution Architect,ITviec Recruitment Consulting,,Ho Chi Minh City,,,VND,,"['Java', 'CI/CD', 'Kafka', 'API', 'Spring Boot', 'AI']",Hybrid,Manager,2026-05-22,,,"Top European Firm, AI & Digital Bank Leaders; Attractive Pay, 13th Month & Performance Bonus; Hybrid Work, Premium Health & Extensive Leave",itviec
Senior AIOps/MLOps Engineer - Nexus,NAB Innovation Centre Vietnam,,Hanoi,,,VND,,"['MLOps', 'Python']",Hybrid,Senior,2026-05-22,,,Very competitive remuneration package; Build products for millions of users in Australia; Hybrid and flexible working environment,itviec
Senior/Lead Fullstack Developer,The One Digi Corp,,Ho Chi Minh City,,,VND,,"['PHP', '.NET', 'NodeJS', 'Python']",On-site,Senior,2026-05-22,,,"Lương cạnh tranh; Môi trường làm việc trẻ, thân thiện, chuyên nghiệp; Máy móc thiết bị tốt để phục vụ cho công việc",itviec
"DevOps Engineer (AWS Cloud, Linux/Unix)",Mynavi TechTus Vietnam,,Da Nang,,,VND,,"['DevOps', 'Terraform', 'Linux', 'Kubernetes', 'AWS', 'Cloud']",On-site,,2026-05-22,,,"Salary review twice/year & performance bonus; Sponsored certs, training, clear career path; 20 annual leaves per year; Flexible working hours",itviec
Manual/Automation Tester (QA QC),GrapeCity,,Hanoi,,,VND,,"['Tester', 'Automation Test', 'Selenium', 'C#', 'QA QC', 'English']",On-site,,2026-05-22,,,Enjoyable Team Environment; Engaging and Innovative Work; 13 month salary and bonus,itviec
AI Engineer (Prompt Engineering),WBC Việt Nam,,"Ho Chi Minh City, Hanoi",,,VND,,"['AI', 'Python', 'LLM', 'Cloud', 'Microsoft Dynamics 365', 'Prompt Engineering']",On-site,,2026-05-22,,,,itviec
"Analytics Engineer (Advanced SQL, Python, Data Analyst)",METUB Việt Nam,,Ho Chi Minh City,,,VND,,"['Data Engineer', 'SQL', 'Business Intelligence', 'Data Analysis', 'Python', 'Data Warehousing']",On-site,,2026-05-22,,,Product: Exciting product; People: Passionate coworkers; Personal: Personal growth opportunities,itviec
"Agentic AI Developer (Python, Prompt Engineering)",METUB Việt Nam,,Ho Chi Minh City,,,VND,,"['AI', 'Prompt Engineering', 'TypeScript', 'Python', 'PromiseKit']",On-site,,2026-05-22,,,Product: Exciting product; People: Passionate coworkers; Personal: Personal growth opportunities,itviec
"02 Mid/Senior QA Engineer (QA QC, Tester)",SMG Swiss Marketplace Group,,Ho Chi Minh City,,,VND,,"['QA QC', 'Tester', 'Playwright', 'Cypress', 'Scrum', 'English']",Hybrid,Senior,2026-05-22,,,,itviec
"Senior DevOps Engineer (AWS, Kubernetes)",Fastboy Marketing,,Ho Chi Minh City,,,VND,,"['DevOps', 'GCP', 'CI/CD', 'Azure', 'AWS', 'Kubernetes']",Hybrid,Senior,2026-05-22,,,,itviec
Senior/Lead PHP Engineer,Fastboy Marketing,,Ho Chi Minh City,,,VND,,"['Symfony', 'CI/CD', 'PostgreSql', 'MySQL', 'Laravel', 'PHP']",Hybrid,Senior,2026-05-22,,,,itviec
Mainframe Technical Lead (COBOL/JCL/DB2) – Up to 60M,SoftRoad Việt Nam,,Hanoi,,,VND,,"['COBOL', 'Oracle', 'SQL', 'IBM DB2']",On-site,Manager,2026-05-22,,,,itviec
Project/ Delivery Manager,OnePay,,Hanoi,,,VND,,"['Project Management', 'Jira', 'Scrum', 'API', 'Agile']",On-site,Manager,2026-05-22,,,,itviec
Chuyên Gia Quản Trị Cơ Sở Dữ Liệu (DBA),Ngân hàng TMCP Thịnh vượng và Phát triển (PGBank),,Hanoi,,,VND,,"['Oracle', 'Python', 'SQL', 'PostgreSql', 'Database']",On-site,,2026-05-22,,,,itviec
"Project Manager (Java, Chinese, English, MySQL, SQL)",Công Ty TNHH Clever Creations Tech,,Ho Chi Minh City,,,VND,,"['Java', 'Spring Boot', 'MySQL', 'Project Management', 'SQL', 'English']",On-site,Manager,2026-05-22,,,,itviec
Senior Data Engineer (Có signing bonus),Amigo,,Hanoi,,,VND,,"['Data Engineer', 'Git', 'Big Data', 'Business Intelligence', 'Data Warehousing', 'Data Analysis']",On-site,Senior,2026-05-22,,,,itviec
Senior Android Engineer,Grab (Vietnam) Ltd.,,Ho Chi Minh City,,,VND,,"['Android', 'JSON', 'English', 'Software Architecture', 'kotlinx.coroutines']",On-site,Senior,2026-05-22,,,"13-month Salary, Performance Bonus, Stock Reward; Premium Healthcare & Flexible Spending Allowance; Global & Large-scale Systems With Billion Of Data",itviec
"Technical Business Analyst (BA) – English, Japanese",LINH LONG ELECTRONIC ENGINEERING,,Ho Chi Minh City,,,VND,,"['Business Analysis', 'Agile', 'ERP', 'Project Management', 'Product Management', 'English']",Hybrid,,2026-05-22,,,,itviec
Enterprise Architect,Tổng công ty Tân Cảng Sài Gòn (Saigon NewPort Corporation),,Ho Chi Minh City,,,VND,,"['Enterprise Architecture', 'Microservices', 'TOGAF', 'Design Systems', 'Solution Architecture']",On-site,,2026-05-22,,,,itviec
Android Developer (Middle - Senior) - Up to $3000,Ingenico Vietnam,,Hanoi,,75000000.0,VND,,"['Android', 'Python', 'English', 'Kotlin', 'Java']",On-site,Senior,2026-05-22,,,Work life balance & no OT; Great salary package & Performance bonus; Premium Health insurance for employee & family,itviec
"Expert, Information Security (Networking, AWS) – ID383",VPBank,,Hanoi,,,VND,,"['Information Security', 'Swift', 'Security', 'Project Management', 'AWS']",On-site,,2026-05-22,,,,itviec
"Software Engineer (C++, Embedded)",FUJIFILM Business Innovation Việt Nam,,Ho Chi Minh City,,,VND,,"['Embedded', 'Windows', 'Linux', 'C language', 'C++']",On-site,,2026-05-21,,,"Professional software development training; Long-Term Growth; Fulfilling Career at an ""interesting"" company",itviec
"Data Platform Operations (Database, Oracle)",ABBANK,,Hanoi,,,VND,,"['Database', 'CI/CD', 'ETL', 'Cloud', 'Oracle', 'SQL']",On-site,,2026-05-21,,,"Lương/ thưởng hấp dẫn; Cơ hội thăng tiến nghề nghiệp cao; Môi trường làm việc thân thiện, năng động",itviec
"AI Engineer (Python, Microservices, Docker)",ABBANK,,Hanoi,,,VND,,"['AI', 'Docker', 'Microservices', 'Python']",On-site,,2026-05-21,,,"Lương/ thưởng hấp dẫn; Cơ hội thăng tiến nghề nghiệp cao; Môi trường làm việc thân thiện, năng động",itviec
