job_title,company_name,company_size,location,salary_min,salary_max,salary_currency,experience_required,skills,job_type,job_level,posted_date,deadline,job_description,benefits,source
IT Helpdesk Technician,FireGroup Technology,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,,1.0,"['Rust', 'DevOps', 'Agile', 'Linux', 'AI', 'Excel', 'Jira', 'Active Directory', 'VPN']",Full-time,Not Applicable,2026-05-07,,"Apply Now
Ho Chi Minh
Full-time
06/05/2026
FIREGROUP AT A GLANCE
Founded in 2016 in Vietnam, FireGroup Technology is committed to building world-class SaaS products that make a global impact on e-commerce. From the outset, we envisioned a world where running an online business is easy, effective, and sustainable, and we have been bringing that vision to life for nearly a decade.
Our portfolio includes TrueProfit, Transcy, OneMobile, OneLoyalty, Zopi, Promer, Ali Reviews. Trusted by more than 450,000 merchants in over 175 countries and recognized by global leaders such as Shopify, Google, Meta, TikTok, and Amazon, FireGroup is proud to elevate Vietnamese innovation onto the world stage.
Why build your career with FireGroup
Make a Global Impact: Contribute to products trusted by merchants worldwide and help solve real challenges that transform e-commerce.
Build with an AI-first Mindset: Use AI as your daily co-pilot to make smarter decisions and accelerate problem-solving at scale.
Unleash Your Potential: Fast-track your growth with career mobility, diverse learning resources, and an agile environment that empowers bold thinkers.
In a Culture That Connects Us As a Whole
What truly defines us is not only our technology but also our people, guided by our seven core values of Courage, Creativity, Growth, Teamwork, Ownership, Trust, and Empathy. At FireGroup, work is more than a job; it is a legacy in the making. We move with speed to solve meaningful challenges, and every Firer is encouraged to dream boldly, lead with courage, and create impact that endures.
Discover how our values come to life in every team and product we build on our culture page.
Responsibilities
Maintaining IT Operations: Ensure the organization operates smoothly and efficiently by maintaining IT activities such as applications, email systems, wireless networks, hardware, software, cameras, and related tools.
User Support: Take primary responsibility for guiding and installing user devices, ensuring that company systems and equipment are used efficiently and conveniently. Handle and resolve issues related to devices, accounts, networks, and more.
System Infrastructure Management: Manage and support IT infrastructure, including network (Wi-Fi), physical servers.
Linux Administration: Utilize and administer Linux systems to ensure stability and performance across the organization's IT infrastructure.
Performing Hardware and Software Upgrades: Ensure that the company’s systems, software, and computer configurations are consistently upgraded.
DevOps Support: Collaborate with DevOps teams to facilitate smooth software development and deployment processes.
VPN Management: Set up, manage, and support VPN systems for company employees.
Sourcing and Working with Suppliers: Identify and engage with suppliers based on the company's pricing regulations & Coordinate with suppliers to find the most optimal solutions.
Service Level Agreements (SLAs): Be familiar with SLAs and ensure proper response times in handling IT requests and issues.
Participating in Help Desk Projects: Participate in Helpdesk team projects and ensure they are completed on time and meet specified requirements.
Qualifications
1-3 years Helpdesk technician experience.
Working knowledge of the following technologies: Google Apps, Office 365 for Mac and PC, Active Directory, software based telephony, Jira service desk, SSO, JAMF, and Airwatch.
Experience with Linux system administration and network infrastructure, including Wi-Fi management.
Highly motivated with a positive attitude and excellent customer service skills.
Familiarity with writing technical documentation.
Understands ticket process, workflow and queue management.
Ability to work independently and within a team environment.
Ability to prioritize and address multiple tasks in a dynamic and high-paced work environment.
Job Benefits
We believe that motivation & personality of the employees are the only shortcut to the promotion of the corporate and contributions to the society. We will try our best to create a corporate environment where all employees can realize their dreams and goals.
Featured Benefits Include
Have opportunity to work with global merchants and join the dynamic, young and friendly project team; stable career path;
Attractive salary based on skills and experience; 13th month salary & seniority bonus; Employee’s marriage, maternity bonus; Birthday voucher gift;
Annual salary review;
PTI Healthcare, annual health check;
Regular technical seminar & external/ internal training courses;
Providing free coffee, tea & snack;
Internal engagement events: Team-building; Town-hall, birthday gift voucher, mid-autumn, new year and kick-off parties, yearly company trip;
FireGroup Sports Clubs: Running, Football, Badminton, etc;
Laptop/ PC/ Monitor are provided.
Contacts
Should you need more information about this job, reach out to us at:
Talent Acquistion team
FireGroup’s Linkedin fanpage",,linkedin
IT Manager _ Mekong Capital,Mekong Capital,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,,5.0,"['Agile', 'AI', 'Security', 'Cybersecurity']",Full-time,Not Applicable,2026-04-16,,"I. Key Accountabilities:
The IT Manager is the accountable owner for the stable, secure, and continuous day-to-day operation of Mekong's IT systems, ensuring that approved IT solutions are delivered and run reliably to support daily business operations.
The IT Manager owns the key results of the IT function, including ensuring that all results delivered by
Senior IT Officer
are achieved as planned.
1. IT Infrastructure & Operations:
Lead full accountability for the operation of all IT systems, servers, networks, hardware, software, and applications across the organization (HCM & HN).
Oversee cloud and platform services (e.g., Microsoft 365, SharePoint, Notion, Trello, BI, etc.) and ensure their stable, secure, and reliable day-to-day operation.
Ensure system availability, performance, operational stability, and business continuity for both office-based and remote users.
Be accountable for incident management, root cause analysis, and timely resolution of system outages or major IT issues.
2. Cybersecurity & Risk Management:
Enforce cybersecurity policies, standards, and operational controls across all IT systems.
Lead the execution and effectiveness of endpoint protection, data backup, disaster recovery, and incident response.
Ensure backup and recovery processes are tested and effective to support business continuity.
Coordinate vulnerability assessments, penetration testing, and remediation actions with security partners and vendors.
3. User Support & Training:
Lead the quality and effectiveness of IT user support services, including helpdesk operations (in-house or outsourced).
Ensure timely resolution of IT incidents related to hardware, software, video conferencing, and remote access.
Ensure consistent IT onboarding and essential user training to enable effective system usage across the organization.
4. Vendor & Budget Management:
Manage operational relationships with IT service providers and software vendors.
Lead contract execution, SLA compliance, service performance, renewals, and cost control.
Be accountable for vendor delivery quality and alignment with agreed operational requirements.
Support budgeting, payment requests, and periodic vendor performance reviews.
5. Systems & Compliance:
Lead the operation and ongoing reliability of fund management–specific systems (e.g., CRM, data rooms, portfolio monitoring tools).
Ensure systems are operated in compliance with data privacy regulations and internal policies.
Act as the IT point of accountability in supporting internal and external audits from a technology and systems operation perspective.
6. Digital Enablement & Project Execution:
Execute and roll out approved digital, automation, and AI-related initiatives in alignment with company strategy defined by leadership.
Coordinate internal IT resources and vendors to deliver digital solutions effectively.
Ensure deployed solutions are operationally stable, secure, and adopted by users.
Monitor post-implementation effectiveness and support continuous improvement from an operational perspective.
7. Other Taks:
Handle administrative task related to your activities (contract with vendors, making payment request, etc)
Other tasks requested by Partners or Directors
II. Key Requirements:
Minimum 3–5 years of experience in an IT Manager or IT Head role, with full ownership of end‑to‑end IT operations, including systems, infrastructure, cloud environments, system uptime, and incident management.
Proven ability to work with C‑suite stakeholders (CEO/Director), with a thorough approach to understanding requirements, accurately capturing details, and proactively clarifying any unclear points before execution.
Demonstrated leadership and ownership, including managing IT staff and/or external vendors and taking accountability when issues arise.
Solid understanding of enterprise IT architecture and modern delivery practices (e.g. Agile) is a strong advantage.
Fluent English Communications.
Results‑oriented: Focuses on outcomes, takes ownership, and delivers commitments end to end
Question & Discovery mindset: Asks the right questions to thoroughly understand requirements and clarify expectations.
Solution‑driven: Converts issues and requirements into practical, effective solutions.",,linkedin
Finance Assistant,Getz Group,,Vietnam,,,,5.0,"['REST', 'Excel']",Full-time,Not Applicable,2026-05-06,,"FINANCE ASSISTANT
At GETZ, we are seeking a
Finance Assistant
who is responsible for keeping track of an organization's finances and supporting the Financial Manager in daily operation tasks.
Key Responsibilities
Singapore financial tasks:
Monitor and reconcile accounts receivable and payable to ensure accuracy and timely processing
Execute monthly fee collection and follow up to ensure prompt payments
Handle general financial and administrative duties to support smooth operations
Maintain accurate and up-to-date financial records in the accounting system
Prepare and submit Goods and Services Tax (GST) filings and ensure compliance with local regulatory requirements
Vietnamese financial tasks:
Oversee and manage monthly accounts payable processes with accuracy and timeliness
Maintain up-to-date and accurate financial records in the accounting system
Prepare and submit tax filings including Value-Added Tax (VAT), Corporate Income Tax (CIT), and Personal Income Tax (PIT) in compliance with local laws
Organize and compile required documentation for annual financial audits
Generate periodic financial reports as needed for internal and external stakeholders
Provide ad-hoc support to the Back Office team as required
Job Requirements
Bachelor’s degree in Accounting or Finance
Minimum of 3–5 years of experience in accounting or finance (preferably in a general accountant or bookkeeping role)
Strong knowledge of Vietnamese accounting principles and regulations
Familiarity with international accounting standards (Singapore accounting standards is a plus)
Proficient in Microsoft Office (Excel, Word, Outlook)
Highly organized with a problem-solving mindset and keen attention to detail
Strong communication skills in English (written and verbal)
Ability to manage multiple tasks efficiently in a fast-paced environment
Preferred Qualifications
Proficiency in Google Sheets
Experience with MISA and Xero accounting software is an advantage
Personal Attributes
Mature, detail-oriented, and highly responsible
Results-driven with a customer-focused approach
Proactive, adaptable, and able to work independently
SALARY & BONUS
Highly competitive salary
Salary review: up to 2 times/year
OUTSTANDING BENEFIT PROGRAMS
Premium Healthcare Package for Staff and Family Members
Diverse Holidays & Special Events Bonuses & incentives
Family Financial Support - Education for up to 2 kids
Lunch Allowance
Professional Training and Development Budget
Global Exposure and Traveling Opportunities:
○ Sponsored Trip to Singapore to broaden your horizon and training opportunities
○ Annual company-wide Overseas Rest & Relax Trip
Bi-Annual Recognition: Salary Reviews and Appreciation
WORKING TIME
From
Monday - Friday | 8:00 - 17:30
(1h30 lunch break), flexible to work from home every Friday
WORK LOCATION
8th floor, Vietnam Post Building, 271 Nguyen Van Linh, Thanh Khe Ward, Danang, Vietnam
CONTACT
Application requirement: please send your CV to email recruit@getz.co
If you are self-leading, eager to learn, dare to fail and willing to take any initiatives and transform it into business impact,
join us now!
Apply
If you are self-leading, eager to learn, dare to fail and willing to take any initiatives and transform it into business impact, join us now!
Apply
If you are self-leading, eager to learn, dare to fail and willing to take any initiatives and transform it into business impact, join us now!
Apply",,linkedin
IT Specialist,Tuyển Dụng 247,,Ho Chi Minh City Metropolitan Area,,,,2.0,"['REST', 'AI', 'Power BI']",Full-time,Not Applicable,2026-05-05,,"1. JOB DESCRIPTION:
IT Business Support & Service Operations
Work closely with business teams to understand their needs and suggest suitable technology solutions.
Support daily IT operations, handle basic issues, and coordinate with relevant teams to ensure smooth system performance.
Vendor & Stakeholder Coordination
Coordinate with external vendors and internal stakeholders to ensure timely and quality delivery.
Assist in monitoring vendor performance and supporting contract/service-related activities.
Project & Digital Solution Support
Participate in technology projects and support delivery within agreed scope and timeline.
Assist in developing simple automation or digital solutions based on business needs (Power Platform is a plus).
Mange and support to delivery of technology projects, ensuring scope, timeline, and budget adherence.
Data & Reporting
Support data integration and data flow between systems.
Build and maintain dashboards/reports (e.g., Power BI or similar tools).
Work with teams to track KPIs and provide basic insights.
Learning & Technology Adoption
Proactively learn and stay updated on new technologies (cloud, automation, AI, etc.).
Support digital transformation initiatives where applicable.
Communication
Provide clear updates on tasks and projects to managers and stakeholders.
Collaborate with local and regional/global teams when needed.
2. REQUIREMENT
Bachelor’s degree in Information Technology, Computer Science, or related field.
At least 2 years of experience in IT-related roles.
Interest in developing a career in IT specialist roles, project coordination, business applications, and vendor management.
Basic knowledge or experience in: IT support/ system operations/ Data and reporting tools (Power BI is a plus)
Familiarity with Microsoft Power Platform (Power Apps, Power Automate, Power BI) is an advantage.
Good command of English (working proficiency).
Strong communication skills, proactive, and quick to learn.
Open-minded and willing to learn new technologies.
3. SALARY & BENEFITS
Gross salary: up to 35M gross
13th month salary bonus.
100% salary in 2-month probation period.
Full insurance package as required by the Law Sign contract with Talentnet
Working time:
Mon – Fri, 8:30 AM – 5:30 PM
Location:
District 1 (former), HCMC",,linkedin
IT HELPDESK,CMC Technology & Solution (CMC TS),,"Xã Các Sơn, Thanh Hoa, Vietnam",,,,,[],Full-time,Not Applicable,2026-04-30,,"IT Helpdesk
Địa Điểm Làm Việc
No.75, Đường 2 tháng 4, Bắc Nha Trang Ward, Khánh Hòa Province and (3 classrooms, 1 computer lab, 1 teacher’s office with RMIT work laptops, 1 printer, 20 RMIT donated desktops – TBC)
03 Biệt Thự, Tân Tiến, Nha Trang, Khánh Hòa (2 classrooms, 20 tablets and 1 printers).
Mô tả công việc
Xử lý sự cố, chẩn đoán, giải quyết các vấn đề liên quan đến người dùng (End-user)
Hỗ trợ người dùng bằng phương thức Remote, telephone, email, chat hoặc đến trực tiếp.
Khắc phục các lỗi ứng dụng (Microsoft Office, nền tảng học ngoại ngữ, Zoom…).
Khắc phục các lỗi liên quan đến phần cứng PC, laptop, máy in, photocopy, scan.
Xử lý sự cố liên quan mạng (Internet, LAN, Printer, Camera)
Xử lý lỗi liên quan máy chấm công (timekeeper), thiết bị mạng, UPS, tổng đài số.
Phối hợp với các bên liên quan (các nhóm kỹ thuật hoặc nhà cung cấp) để có giải pháp xử lý lỗi liên quan tới hệ thống công nghệ thông tin của khách hàng.
Chuẩn bị máy tính, thiết bị cho phòng học, hội nghị.
Sử dụng hệ thống quản lý ticket.
Thực hiện checklist đầu ngày theo quy trình cho trước.
Theo dõi tình trạng mực in, linh kiện hư hỏng, báo cáo khách hàng mua mới thay thế.
Cập nhật tài liệu IT (nếu có)
Cập nhật tài liệu hướng dẫn người dùng (nếu có)
Báo cáo định kỳ và đề xuất phương án tối ưu.
Yêu cầu ứng viên
Học vấn/Bằng cấp: Cao đẳng, Đại học (MCSA, CCNA hoặc các khóa học tương đương là lợi thế)
Kiến thức: CNTT hỗ trợ người dùng.
Kinh Nghiệm: 02 - 03 năm (Helpdesk)
Ngoại ngữ: Thông thạo Tiếng Anh giao tiếp.
Kỹ năng giao tiếp cơ bản.
Làm việc độc lập.
Kỹ năng viết email. THU NHẬP
Thu nhập: Thương lượng theo vị trí công tác
Thưởng 1 tháng lương + Phụ cấp onsite
Gói phúc lợi tiền mặt 9 triệu/năm vào các dịp Lễ, Tết, Sinh nhật Tập đoàn...
Xét tăng lương theo năng lực và kết quả công việc định kỳ 1 lần/năm. Hoặc tăng lương đột xuất theo hiệu quả công việc.
CHẾ ĐỘ ĐÀO TẠO VÀ PHÁT TRIỂN
Đài thọ 100% chi phí tham gia các khóa học, thi chứng chỉ CNTT Quốc tế.
Chính sách phát triển, thăng tiến theo Career Path phù hợp với từng vị trí, từng phòng ban.
Cơ hội tiếp cận với các công nghệ mới nhất: Cloud, Big data...
Cơ hội làm việc trong Công ty là Top 1 đối tác tư vấn và cung cấp, triển khai giải pháp Chuyển đổi số, Bảo mật, Cloud cho tổ chức và doanh nghiệp tại Việt Nam
BẢO HIỂM VÀ CHÍNH SÁCH ĐÃI NGỘ
Nghỉ phép: 12 ngày/ năm + 1 ngày nghỉ hưởng lương vào dịp sinh nhật bản thân CBNV
Bảo hiểm xã hội, Bảo hiểm y tế, Bảo hiểm thất nghiệp theo quy định Nhà nước
Chế độ bảo hiểm nâng cao: CMC Care
Chế độ đãi ngộ thai sản nâng cao dành cho nhân viên nữ
Du lịch hàng năm 1 tuần, teambuilding/dã ngoại định kì 2 lần/năm
Tham gia các Câu lạc bộ của Công ty và các chương trình trải nghiệm nhân viên đa dạng và phòng phú
Được trang bị laptop/thiết bị công nghệ trong quá trình làm việc.
Môi trường làm việc sáng tạo, đổi mới
Nộp đơn ứng tuyển công việc này
Họ & tên bạn *
Địa chỉ email *
Số điện thoại *
Thông tin thêm
CV của bạn *
Click để chọn & tải lên CV của bạn
Mã bảo mật *
Nộp đơn ứng tuyển",,linkedin
"Ho Chi Minh Cabin Crew Opportunities (Dubai Based, Relocation Provided)",Emirates,,Ho Chi Minh City Metropolitan Area,,,,,"['Excel', 'Security']",Full-time,Associate,2026-04-23,,"Job Purpose
A personality that shines, the ability to adapt to any situation and make people feel at ease. These are a few of the qualities we’re looking for in our cabin crew.
As the face of Emirates, you’ll be the person customers turn to for help and direction when they fly with us, so you need to be friendly, observant and able to provide the right support.
Being a member of the cabin crew is so much more than a service role - safety is our highest priority. You’ll need to lead confidently and take control when it comes to managing aircraft services, security, and safety procedures. This comes from the world-class learning experience our crew receive at our state-of-the-art facility in Dubai.
Qualifications & Experience
Here are some other things we look for in our cabin crew:
You’ve had more than a year’s experience in hospitality/customer service
You have a positive attitude and the natural ability to provide excellent service in a team environment, dealing with people from many cultures
Your minimum qualification is high school graduate (Grade 12)
You need to be fluent in written and spoken English
You’re at least 160cm tall and can reach 212 cm while standing on tiptoes, to enable you to reach emergency equipment on all aircraft types
No visible tattoos while you’re in Emirates cabin crew uniform (without covering them with bandages or cosmetics)
As Emirates cabin crew, you’ll be based in Dubai and will need to meet the UAE's employment visa requirements
Aside from the requirements of the role, you should be determined to always perform to the highest standards, focus on being solution oriented, and be able to manage a demanding work schedule. You should have the ability to deliver an authentic experience to our customers. You’ll be culturally aware and reflect the Emirates personality - professional, empathetic, progressive, visionary and cosmopolitan.
Before clicking the Apply button, please keep the following
documents
ready to submit with your application:
Recent CV in English
Recent photo
Salary & Benefits
Your pay is made up of three components:
a fixed basic salary,
an hourly pay for operated flights and
an overseas meal allowance.
Basic salary = AED 4,980 / month,
Flying Pay = AED 69.60 / hour based on avg. 80-100 hours / month,
Average Total Pay = AED 11,244 / month (~USD 3,100, EUR 2,600 or GBP 2,280)
* These are approximate numbers for Grade II (Economy Class).
Meal allowances for night stops are credited to the salary in arrears the following month.
Hotel accommodation as well as transport to and from the airport is provided by the company.",,linkedin
IT Support Engineer,Corsair,,Ho Chi Minh City Metropolitan Area,,,,3.0,"['Scala', 'React', 'Azure', 'Linux', 'Windows Server', 'Excel', 'Jira', 'ITIL', 'ITSM', 'VMware', 'Networking', 'Firewall', 'VPN', 'Security']",Full-time,Associate,2026-04-23,,"General Purpose:
The IT Support Engineer provides Tier 2/3 technical support and serves as a key escalation resource for service desk issues. This role is responsible for diagnosing and resolving moderately complex technical problems across endpoints, collaboration platforms, identity systems, and core infrastructure.
In addition to reactive support, this position plays an active role in system maintenance, security enforcement, automation efforts, documentation, and process optimization. The ideal candidate is highly customer-focused, technically proficient, and capable of working independently while collaborating closely with senior infrastructure engineers.
Position Summary, Responsibilities and Expectations:
• Troubleshoot and resolve complex hardware, software, network, and cloud-related issues
• Manage incidents, service requests, and problem records in ITSM tools (Jira Service Management)
• Perform root cause analysis and contribute to long-term problem resolution
• Meet defined SLAs and KPIs while maintaining high customer satisfaction
• Develop and maintain technical knowledge base documentation
Endpoint & Device Management
• Deploy, configure, and support Windows and macOS endpoints
• Administer endpoint management platforms (Microsoft Intune, Autopilot, JAMF, SCCM or similar)
• Support device compliance policies, patching, encryption, and endpoint security tools
• Manage hardware lifecycle, asset inventory, and imaging processes
Microsoft 365 & Identity Administration
• Administer Microsoft 365 services (Exchange Online, Teams, SharePoint, OneDrive)
• Manage user provisioning and deprovisioning processes
• Configure and troubleshoot Azure AD / Entra ID, MFA, conditional access, and group policies
• Support enterprise collaboration and SaaS platforms
Infrastructure & Systems Support
• Support network connectivity issues (DNS, DHCP, VPN, wireless, routing/switching fundamentals)
• Assist with VMware vSphere administration and virtual machine management
• Provide support for Windows server environments and basic Linux systems
• Assist with backup verification and disaster recovery procedures
Security & Compliance
• Enforce endpoint security standards and patch management processes
• Support vulnerability remediation efforts
• Participate in security incident response activities
• Maintain least-privilege access and identity governance best practices
Continuous Improvement
• Identify recurring issues and recommend process or technical improvements
• Assist in automation initiatives (PowerShell scripting or similar)
• Participate in on-call rotation as required
• Contribute to service metrics reporting and operational reviews
Essential Skills and Experience:
• 3–5 years of hands-on IT support experience in a corporate environment
• Proven experience operating in a Tier 2 or escalation support role
• Strong troubleshooting skills across Windows and macOS platforms
• Experience administering Microsoft 365 and Azure AD / Entra ID
• Experience with endpoint management solutions (Intune, JAMF, etc.)
• Working knowledge of networking fundamentals (TCP/IP, DNS, DHCP, VPN)
• Experience with ITSM/service desk platforms
• Strong understanding of endpoint security and patch management practices
• Excellent and fluent English communication and customer service skills
Preferred Qualifications:
• Experience with VMware vSphere or similar virtualization platforms
• Experience supporting Windows Server and/or Linux systems
• Experience with Palo Alto Networks firewalls
• ITIL Foundation certification or working knowledge of ITIL framework
• Basic scripting/automation experience (PowerShell preferred)
• Experience supporting hybrid or cloud-first environments",,linkedin
"Manager, IT",Aperia,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,,,"['Azure', 'Terraform', 'CI/CD', 'DevOps', 'Windows Server', 'REST', 'VMware', 'Networking', 'Security']",Full-time,Mid-Senior level,2026-04-16,,"SUMMARY
Join Aperia Solutions, a leader in SaaS solutions for the Payments and Compliance industries. Aperia is a Texas-based fintech and managed consultancy firm that creates custom SaaS applications and other software-based solutions for the payments, banking, and processing industry. Founded in 1999, Aperia offers business intelligence, risk management, compliance, and customer intelligence platforms. With offices in Dallas, Washington DC, and Vietnam, Aperia is a fast-paced, global organization that strives to improve efficiency in compliance, risk, and customer service operations. Aperia’s clients include banks, processors, payment facilitators, merchant service providers, independent sales organizations, and government entities. A career at Aperia promises a great challenge, culture, and opportunities to forge your own path.
JOB DESCRIPTION
At Aperia, we rely on a dynamic team of IT. We’re seeking a highly motivated and hands-on experienced IT Manager who is ready to work with new technologies and to implement comprehensive IT processes in a forward-thinking organization that’s always pushing boundaries. The successful candidate will be responsible for managing the day-to-day operations of the IT team, provide leading and managing IT activities for supporting Aperia’s products. The ideal candidate has a strong background in team leadership, performance management, on-prem and Cloud transformation experience.
CORE RESPONSIBILITIES
Oversee all technology operations (e.g. DevOps, CI/CD, systems administration, network administration, desktop support) and evaluate them according to established goals.
Maintain IT infrastructure including operating systems, Office365, email systems, security and development tools, applications, servers, desktop, laptops, software, hardware, Azure services and Internet connectivity
Track and maintain hardware and software inventory
Oversee all cloud services required for FedRAMP High compliance
Research and evaluate emerging technologies related to Cloud services, and DevOps
Evaluate current and future technology capabilities and make recommendations to advance products.
Recommend efficient and cost-effective infrastructure equipment, infrastructure as a service (IAAS), software, and software as a service (SAAS).
Inspect and monitor use of infrastructure equipment, cloud services, and software to ensure functionality and efficiency.
Manage IT initiatives by business priority and be able to clearly communicate statuses to management.
Collaborate with security, database, development teams and other professionals to provide superior service levels to the company.
FUNCTIONAL RESPONSIBILITIES
Analyze business requirements as a whole and all departments to determine technology needs
Analyze infrastructure and cloud services need to support a suite of enterprise Software as a Service products
Analyse technologies, processes, and vendors continually to find areas for improvement
Ensure IT infrastructure and software services achieve SLAs
Maintain, monitor and proactive care IT services to keep business continuity and disaster recovery
Communicate relentlessly with team, manager, leadership, and sponsors to ensure transparency.
Effectively work on multiple concurrent projects and with multiple competing priorities.
Conduct training for employees to use software/hardware, to troubleshoot issues and provide technical support when needed
REQUIRED SKILLS
Technical
5+ of experience in IT management
Azure cloud infrastructure (VDI, DevBox, AD Connect, networking)
Infrastructure as code, platform engineering (terraform, bicep, configuration management)
On-premises infrastructure (Windows Server, VMware, networking)
Cisco ASA/Firepower configuration
PCI DSS or similar compliance frameworks (ISO 27001, SOC 2, etc)
Patch management and change control
Backup and disaster recovery
Leadership & Coordination
IT team management (local and remote coordination)
Cross-functional collaboration with DevOps and project teams
Vendor management
Communication with US-based leadership
Adaptability and flexibility
Resilience
Operational Skills
Helpdesk and support services oversight
Documentation and knowledge management
Process improvement and automation
THINGS THAT WILL SEPARATE YOU FROM THE REST
Experience in working with global teams to lead IT initiatives.
EDUCATION
BSc/BA, preferred in Information Technology, System
ELIGIBILITY REQUIREMENTS
Must be willing to submit to a background investigation and drug test as part of the selection process.
JOB TYPE
Full-Time
SCHEDULE
Monday to Friday
WORK LOCATION
The Six8 Building: 24-26 Phan Dinh Giot, Ward 2, Tan Binh District, Ho Chi Minh City
BENEFITS
Health insurance
Dental insurance
Paid time off
Parental leave
Childcare assistance
Education reimbursement
This job description is not intended to be all-inclusive. An employee may also perform other reasonable related business duties as assigned by their immediate supervisor or management.
Principals only. Recruiters please don't contact this job poster. DO NOT contact us with unsolicited services or offers.",,linkedin
IT Support Specialist (Junior position),TGM Research,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,,2.0,['Security'],Full-time,Entry level,2026-04-16,,"Location:
HCMC, Vietnam
About Us
TGM Research is one of the fastest growing and most innovative market research companies, offering valuable insights to businesses across various industries. We are committed to delivering high-quality market research solutions to our clients by connecting them with the right participants through our online panels.
Job Description
To support our global growth, our market research company is seeking an
IT Support Specialist
to keep our technology running smoothly for both our Global Team (online) and Vietnam Team (onsite). This role will focus on providing fast and reliable technical support, maintaining system performance, and implementing best practices in a dynamic, collaborative environment.
As an
IT Support Specialist
at TGM Research reporting to the Chief Experience Officer, you will have the opportunity to apply your technical expertise in a real-world business environment and gain valuable hands-on experience with a variety of systems, applications, and network tools. You will collaborate closely with colleagues across departments to troubleshoot issues, maintain IT infrastructure, and support the integration of technology into our business processes. At TGM, we aim to deliver great performance as a team, supporting one another to achieve accuracy, efficiency, and continuous improvement in all that we do.
Responsibilities
Providing technical support and troubleshooting for PC hardware and software issues.
Assisting users with setup, installation, and usage of applications and operating systems.
Performing regular maintenance and updates on computer systems and Internet connections.
Documenting technical processes, user manuals and procedures.
Training users on best practices for computer usage and security.
Maintaining inventory of IT equipment and supplies.
Responding to service requests in a timely manner to ensure minimal disruption to operations.
Collaborating with cross-functional teams to integrate technology into business processes.
Conducting regular audits and assessments to ensure compliance with industry standards.
Assisting in budget preparation and resource allocation for IT projects.
Collaborating with IT Director to implement new technologies and upgrades.
Requirements
2 years of experience in IT support or a similar role
Fluent English (both written and spoken) - required
Strong communication and teamwork skills
Learning mindset and openness to feedback
Proactivity and strong problem-solving skills
Experience in troubleshooting for hardware, software and business applications
Experience with Windows and macOS systems
Curiosity and commitment to staying up to date with new technologies
Benefits
Competitive salary and performance-based bonuses
Professional development opportunities
International Team setup
Flexible Working Policy
A collaborative and innovative work environment
If you are proactive, curious, team player and analytic, we invite you to join our team and help our clients succeed in their research endeavours.
#marketresearch, #IT, #support",,linkedin
Junior IT System,VTI,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,,,"['Scala', 'AWS', 'Security']",Full-time,Not Applicable,2026-04-23,,"Job Description
Role Positioning
IT coordinator / first-line support with vendor liaison responsibilities.
End-user support and vendor management
Main Task
First-response triage, user support, IT Vendor coordination
Basic network troubleshooting, ability to coordinate with IT Vendor on escalations, and guest Wi-Fi administration.
Basic server monitoring and ability to coordinate with vendor for server-related issues.
Serve as primary liaison with IT maintenance vendor; coordinate scheduled on-site visits, escalate and track trouble tickets, and manage spare parts inventory.
Assist with cloud service onboarding as directed by HQ/regional IT.
Execute IT directives from HQ and regional IT including security updates, asset inventory reporting, and project support as instructed
Perform physical setup and maintenance of IT equipment including cabling, desk moves, and equipment installation.
Requirements
IT helpdesk/end-user support and vendor coordination experience
TOEIC 650+（Japanese language ability is a plus）
Benefits
Minimum 13 months salary per year - not including other bonuses such as KPI bonus for work efficiency, project bonus and revenue bonus. We do performance review twice a year. You will work in a professional, dynamic and friendly environment.
VTI offer annual health check-ups and fully pay social insurance, health insurance and unemployment insurance premium following the Labor law.
We offer one vacation/company trip and 4 teambuilding trips per year for every employees, along with various entertainment activities including: Swimming Clubs, Yoga, Zumba, Kendo and music order via internal Radio channel.
Two MVPs will be rewarded with a free trip to Japan, Taiwan, Singapore, or else.
We offer variety promotion opportunities and chance to raising income for people with capacity, enthusiasm, and long-term commitment.
We offer free Japanese class at the company.
We provide training opportunities to help our people to improve their skills. We support our members to learn and get Cloud, AWS, PMF, PMP certification.
Working hour from: 08:30am to 05:30pm. From Monday to Friday.
Expired at May 15, 2026
Job Details
Quantity
1
Locations:
Hồ Chí Minh
Experience Required
2 years
Level
Junior
Job Type
Full time
Skills
IT System",,linkedin
